#options: 1920x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=900 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:48.82 aq:37.28 tex:99907 mv:34290 misc:283 imb:8160 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:49.58 aq:38.93 tex:159 mv:41 misc:480 imb:1 pmb:8 smb:8151 d:- ref:0 ;
in:5 out:2 type:P dur:2 cpbdur:2 q:49.54 aq:42.38 tex:1560 mv:2703 misc:2057 imb:26 pmb:359 smb:7775 d:- ref:0 ;
in:3 out:3 type:B dur:2 cpbdur:2 q:49.56 aq:33.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:2 out:4 type:b dur:2 cpbdur:2 q:49.57 aq:35.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:49.55 aq:35.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:7 out:6 type:P dur:2 cpbdur:2 q:49.57 aq:39.09 tex:482 mv:369 misc:773 imb:7 pmb:49 smb:8104 d:- ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:49.55 aq:35.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:11 out:8 type:P dur:2 cpbdur:2 q:49.46 aq:41.38 tex:1920 mv:2891 misc:2037 imb:60 pmb:303 smb:7797 d:- ref:0 ;
in:9 out:9 type:B dur:2 cpbdur:2 q:49.52 aq:33.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:8 out:10 type:b dur:2 cpbdur:2 q:49.54 aq:35.00 tex:1 mv:18 misc:413 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:10 out:11 type:b dur:2 cpbdur:2 q:49.49 aq:34.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:15 out:12 type:P dur:2 cpbdur:2 q:49.42 aq:41.68 tex:2723 mv:3956 misc:2585 imb:78 pmb:428 smb:7654 d:- ref:0 ;
in:13 out:13 type:B dur:2 cpbdur:2 q:49.44 aq:38.67 tex:38 mv:5 misc:413 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:12 out:14 type:b dur:2 cpbdur:2 q:49.45 aq:34.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:14 out:15 type:b dur:2 cpbdur:2 q:49.43 aq:34.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:19 out:16 type:P dur:2 cpbdur:2 q:49.44 aq:41.15 tex:2760 mv:3705 misc:2511 imb:72 pmb:408 smb:7680 d:- ref:0 ;
in:17 out:17 type:B dur:2 cpbdur:2 q:49.43 aq:33.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:16 out:18 type:b dur:2 cpbdur:2 q:49.42 aq:34.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:49.43 aq:34.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:23 out:20 type:P dur:2 cpbdur:2 q:53.44 aq:46.75 tex:188 mv:983 misc:973 imb:7 pmb:93 smb:8060 d:- ref:0 ;
in:21 out:21 type:B dur:2 cpbdur:2 q:51.44 aq:36.00 tex:0 mv:0 misc:408 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:20 out:22 type:b dur:2 cpbdur:2 q:50.44 aq:35.00 tex:0 mv:16 misc:400 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:52.44 aq:43.52 tex:33 mv:5 misc:402 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:27 out:24 type:P dur:2 cpbdur:2 q:51.51 aq:43.98 tex:1661 mv:3244 misc:2111 imb:59 pmb:307 smb:7794 d:- ref:0 ;
in:25 out:25 type:B dur:2 cpbdur:2 q:52.47 aq:38.00 tex:0 mv:0 misc:408 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:24 out:26 type:b dur:2 cpbdur:2 q:52.95 aq:40.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:26 out:27 type:b dur:2 cpbdur:2 q:51.99 aq:38.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:31 out:28 type:P dur:2 cpbdur:2 q:48.15 aq:40.35 tex:12113 mv:7976 misc:3895 imb:317 pmb:767 smb:7076 d:- ref:0 ;
in:29 out:29 type:B dur:2 cpbdur:2 q:49.83 aq:34.00 tex:0 mv:0 misc:408 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:28 out:30 type:b dur:2 cpbdur:2 q:50.67 aq:36.00 tex:2 mv:71 misc:439 imb:0 pmb:6 smb:8154 d:- ref:0 ;
in:30 out:31 type:b dur:2 cpbdur:2 q:48.99 aq:34.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:35 out:32 type:P dur:2 cpbdur:2 q:45.84 aq:37.29 tex:27078 mv:10158 misc:4964 imb:440 pmb:1246 smb:6474 d:- ref:0 ;
in:33 out:33 type:B dur:2 cpbdur:2 q:47.00 aq:31.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:47.58 aq:33.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:46.42 aq:31.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:44.11 aq:35.18 tex:50644 mv:10451 misc:5361 imb:490 pmb:1568 smb:6102 d:- ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:44.98 aq:29.00 tex:36 mv:125 misc:487 imb:6 pmb:29 smb:8125 d:- ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:45.41 aq:30.46 tex:30 mv:8 misc:402 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:44.55 aq:30.00 tex:8 mv:58 misc:446 imb:0 pmb:31 smb:8129 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:42.37 aq:32.60 tex:50782 mv:12670 misc:6284 imb:537 pmb:2073 smb:5550 d:- ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:43.24 aq:27.23 tex:131 mv:104 misc:549 imb:0 pmb:21 smb:8139 d:- ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:43.68 aq:29.00 tex:1 mv:2 misc:397 imb:0 pmb:1 smb:8159 d:- ref:0 ;
